uniprot_id	protein_name	gene_name	organism	sequence_length	function
Q9NUP1	Biogenesis of lysosome-related organelles complex 1 subunit 4	BLOC1S4	Homo sapiens	217	Component of the BLOC-1 complex, a complex that is required for normal biogenesis of lysosome-related organelles (LRO), such as platelet dense granules and melanosomes. In concert with the AP-3 complex, the BLOC-1 complex is required to target membrane protein cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. The BLOC-1 complex, in association with SNARE proteins, is also proposed to be involved in neurite extension. Plays a role in intracellular vesicle trafficking
Q8TDE3	Ribonuclease 8	RNASE8	Homo sapiens	154	Has a low ribonuclease activity
Q9BT73	Proteasome assembly chaperone 3	PSMG3	Homo sapiens	122	Chaperone protein which promotes assembly of the 20S proteasome. May cooperate with PSMG1-PSMG2 heterodimers to orchestrate the correct assembly of proteasomes
P15848	Arylsulfatase B	ARSB	Homo sapiens	533	Removes sulfate groups from chondroitin-4-sulfate (C4S) and regulates its degradation (PubMed:19306108). Involved in the regulation of cell adhesion, cell migration and invasion in colonic epithelium (PubMed:19306108). In the central nervous system, is a regulator of neurite outgrowth and neuronal plasticity, acting through the control of sulfate glycosaminoglycans and neurocan levels (By similarity)
Q6W2J9	BCL-6 corepressor	BCOR	Homo sapiens	1755	Transcriptional corepressor. May specifically inhibit gene expression when recruited to promoter regions by sequence-specific DNA-binding proteins such as BCL6 and MLLT3. This repression may be mediated at least in part by histone deacetylase activities which can associate with this corepressor. Involved in the repression of TFAP2A; impairs binding of BCL6 and KDM2B to TFAP2A promoter regions. Via repression of TFAP2A acts as a negative regulator of osteo-dentiogenic capacity in adult stem cells; the function implies inhibition of methylation on histone H3 'Lys-4' (H3K4me3) and 'Lys-36' (H3K36me2)
Q96GQ7	Probable ATP-dependent RNA helicase DDX27	DDX27	Homo sapiens	765	Probable ATP-dependent RNA helicase. Component of the nucleolar ribosomal RNA (rRNA) processing machinery that regulates 3' end formation of ribosomal 47S rRNA (PubMed:25825154)
Q7RTW8	Otoancorin	OTOA	Homo sapiens	1153	May act as an adhesion molecule
Q8NAQ8	Putative uncharacterized protein FLJ34945	Not available	Homo sapiens	132	No function information available
A0AAQ5BHU3	Not available	Not available	Homo sapiens	1375	No function information available
Q9UN79	Transcription factor SOX-13	SOX13	Homo sapiens	622	Transcription factor that binds to DNA at the consensus sequence 5'-AACAAT-3' (PubMed:10871192). Binds to the proximal promoter region of the myelin protein MPZ gene, and may thereby be involved in the differentiation of oligodendroglia in the developing spinal tube (By similarity). Binds to the gene promoter of MBP and acts as a transcriptional repressor (By similarity). Binds to and modifies the activity of TCF7/TCF1, thereby inhibiting transcription and modulates normal gamma-delta T-cell development and differentiation of IL17A expressing gamma-delta T-cells (By similarity). Regulates expression of BLK in the differentiation of IL17A expressing gamma-delta T-cells (By similarity). Promotes brown adipocyte differentiation (By similarity). Inhibitor of WNT signaling (PubMed:20028982)
P48742	LIM/homeobox protein Lhx1	LHX1	Homo sapiens	406	Potential transcription factor. May play a role in early mesoderm formation and later in lateral mesoderm differentiation and neurogenesis
Q99523	Sortilin	SORT1	Homo sapiens	831	Functions as a sorting receptor in the Golgi compartment and as a clearance receptor on the cell surface. Required for protein transport from the Golgi apparatus to the lysosomes by a pathway that is independent of the mannose-6-phosphate receptor (M6PR). Lysosomal proteins bind specifically to the receptor in the Golgi apparatus and the resulting receptor-ligand complex is transported to an acidic prelysosomal compartment where the low pH mediates the dissociation of the complex (PubMed:16787399). The receptor is then recycled back to the Golgi for another round of trafficking through its binding to the retromer. Also required for protein transport from the Golgi apparatus to the endosomes. Promotes neuronal apoptosis by mediating endocytosis of the proapoptotic precursor forms of BDNF (proBDNF) and NGFB (proNGFB). Also acts as a receptor for neurotensin. May promote mineralization of the extracellular matrix during osteogenic differentiation by scavenging extracellular LPL. Probably required in adipocytes for the formation of specialized storage vesicles containing the glucose transporter SLC2A4/GLUT4 (GLUT4 storage vesicles, or GSVs). These vesicles provide a stable pool of SLC2A4 and confer increased responsiveness to insulin. May also mediate transport from the endoplasmic reticulum to the Golgi
Q8ND61	Uncharacterized protein C3orf20	C3orf20	Homo sapiens	904	No function information available
P0DME0	Protein SETSIP	SETSIP	Homo sapiens	292	Plays a role as a transcriptional activator involved in the early stage of somatic cell reprogramming. Promotes the differentiation of protein-induced pluripotent stem (PiPS) cells into endothelial cells and the formation of vascular-like tubes (in vitro). Involved in the transcription induction of vascular endothelial-cadherin (VE-cadherin) expression. Associates to the VE-cadherin gene promoter
P21815	Integrin-binding sialoprotein	IBSP	Homo sapiens	317	Binds tightly to hydroxyapatite (PubMed:11459848). Appears to form an integral part of the mineralized matrix (PubMed:1818768). Probably important to cell-matrix interaction (PubMed:1818768). Promotes adhesion and migration of various cells via the alpha-V/beta-3 integrin receptor (ITGAV:ITGB3) (PubMed:10640428, PubMed:11459848, PubMed:24103036)
P48147	Prolyl endopeptidase	PREP	Homo sapiens	710	Cleaves peptide bonds on the C-terminal side of prolyl residues within peptides that are up to approximately 30 amino acids long
P24390	ER lumen protein-retaining receptor 1	KDELR1	Homo sapiens	212	Receptor for the C-terminal sequence motif K-D-E-L that is present on endoplasmic reticulum resident proteins and that mediates their recycling from the Golgi back to the endoplasmic reticulum
Q8N5U6	E3 ubiquitin-protein ligase RNF10	RNF10	Homo sapiens	811	E3 ubiquitin-protein ligase that catalyzes monoubiquitination of 40S ribosomal proteins RPS2/us5 and RPS3/us3 in response to ribosome stalling (PubMed:34348161, PubMed:34469731). Part of a ribosome quality control that takes place when ribosomes have stalled during translation initiation (iRQC): RNF10 acts by mediating monoubiquitination of RPS2/us5 and RPS3/us3, promoting their degradation by the proteasome (PubMed:34348161, PubMed:34469731). Also promotes ubiquitination of 40S ribosomal proteins in response to ribosome stalling during translation elongation (PubMed:34348161). The action of RNF10 in iRQC is counteracted by USP10 (PubMed:34469731). May also act as a transcriptional factor involved in the regulation of MAG (Myelin-associated glycoprotein) expression (By similarity). Acts as a regulator of Schwann cell differentiation and myelination (By similarity)
A0A0J9YY99	Ig-like domain-containing protein	Not available	Homo sapiens	117	No function information available
O15403	Monocarboxylate transporter 7	SLC16A6	Homo sapiens	523	Monocarboxylate transporter selective for taurine. May associate with BSG/CD147 or EMB/GP70 ancillary proteins to mediate facilitative efflux or influx of taurine across the plasma membrane. The transport is pH- and sodium-independent. Rather low-affinity, is likely effective for taurine transport in tissues where taurine is present at high concentrations
Q00973	Beta-1,4 N-acetylgalactosaminyltransferase 1	B4GALNT1	Homo sapiens	533	Involved in the biosynthesis of gangliosides GM2, GD2, GT2 and GA2 from GM3, GD3, GT3 and GA3, respectively
Q7Z3H4	Sterile alpha motif domain-containing protein 7	SAMD7	Homo sapiens	446	Component of a Polycomb group (PcG) multiprotein PRC1-like complex, essential for establishing rod photoreceptor cell identity and function by silencing nonrod gene expression in developing rod photoreceptor cells. Via its association with the PRC1-like complex, promotes epigenetic repressive marks H3K27me3 and H2AK119ub marks in nonrod genes, silencing their transcription. Represses Crx-controlled photoreceptor-specific gene expression
P07357	Complement component C8 alpha chain	C8A	Homo sapiens	584	Component of the membrane attack complex (MAC), a multiprotein complex activated by the complement cascade, which inserts into a target cell membrane and forms a pore, leading to target cell membrane rupture and cell lysis (PubMed:17872444, PubMed:22832194, PubMed:26841837, PubMed:27052168, PubMed:30552328, PubMed:7440581). The MAC is initiated by proteolytic cleavage of C5 into complement C5b in response to the classical, alternative, lectin and GZMK complement pathways (PubMed:17872444, PubMed:30552328, PubMed:7440581). The complement pathways consist in a cascade of proteins that leads to phagocytosis and breakdown of pathogens and signaling that strengthens the adaptive immune system (PubMed:17872444, PubMed:30552328, PubMed:7440581). C8A, together with C8B and C8G, inserts into the target membrane, but does not form pores by itself (PubMed:17872444, PubMed:30552328). During MAC assembly, associates with C5b, C6 and C7 to form the C5b8 intermediate complex that inserts into the target membrane and traverses the bilayer increasing membrane rigidity (PubMed:30552328, PubMed:6833260)
P05113	Interleukin-5	IL5	Homo sapiens	134	Homodimeric cytokine expressed predominantly by T-lymphocytes and NK cells that plays an important role in the survival, differentiation, and chemotaxis of eosinophils (PubMed:2653458, PubMed:9010276). Also acts on activated and resting B-cells to induce immunoglobulin production, growth, and differentiation (By similarity). Mechanistically, exerts its biological effects through a receptor composed of IL5RA subunit and the cytokine receptor common subunit beta/CSF2RB (PubMed:1495999, PubMed:22528658). Binding to the receptor leads to activation of various kinases including LYN, SYK and JAK2 and thereby propagates signals through the RAS-MAPK and JAK-STAT5 pathways respectively (PubMed:7613138)
Q9GZZ0	Homeobox protein Hox-D1	HOXD1	Homo sapiens	328	Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis. Acts on the anterior body structures
Q96PV7	Protein FAM193B	FAM193B	Homo sapiens	902	No function information available
P43699	Homeobox protein Nkx-2.1	NKX2-1	Homo sapiens	371	Transcription factor that binds and activates the promoter of thyroid specific genes such as thyroglobulin, thyroperoxidase, and thyrotropin receptor. Crucial in the maintenance of the thyroid differentiation phenotype. May play a role in lung development and surfactant homeostasis. Forms a regulatory loop with GRHL2 that coordinates lung epithelial cell morphogenesis and differentiation. Activates the transcription of GNRHR and plays a role in enhancing the circadian oscillation of its gene expression. Represses the transcription of the circadian transcriptional repressor NR1D1 (By similarity)
Q86SH4	Putative testis-specific prion protein	PRNT	Homo sapiens	94	No function information available
Q8TEH3	DENN domain-containing protein 1A	DENND1A	Homo sapiens	1009	Guanine nucleotide exchange factor (GEF) regulating clathrin-mediated endocytosis through RAB35 activation. Promotes the exchange of GDP to GTP, converting inactive GDP-bound RAB35 into its active GTP-bound form. Regulates clathrin-mediated endocytosis of synaptic vesicles and mediates exit from early endosomes (PubMed:20154091, PubMed:20937701). Binds phosphatidylinositol-phosphates (PtdInsPs), with some preference for PtdIns(3)P (By similarity)
P12314	High affinity immunoglobulin gamma Fc receptor I	FCGR1A	Homo sapiens	374	High affinity receptor for the Fc region of immunoglobulins gamma. Functions in both innate and adaptive immune responses. Mediates IgG effector functions on monocytes triggering antibody-dependent cellular cytotoxicity (ADCC) of virus-infected cells
Q13591	Semaphorin-5A	SEMA5A	Homo sapiens	1074	Bifunctional axonal guidance cue regulated by sulfated proteoglycans; attractive effects result from interactions with heparan sulfate proteoglycans (HSPGs), while the inhibitory effects depend on interactions with chondroitin sulfate proteoglycans (CSPGs) (By similarity). Ligand for receptor PLXNB3. In glioma cells, SEMA5A stimulation of PLXNB3 results in the disassembly of F-actin stress fibers, disruption of focal adhesions and cellular collapse as well as inhibition of cell migration and invasion through ARHGDIA-mediated inactivation of RAC1. May promote angiogenesis by increasing endothelial cell proliferation and migration and inhibiting apoptosis
Q16878	Cysteine dioxygenase type 1	CDO1	Homo sapiens	200	Catalyzes the oxidation of cysteine to cysteine sulfinic acid with addition of molecular dioxygen
Q96N68	Putative uncharacterized protein C18orf15	C18orf15	Homo sapiens	181	No function information available
Q6MZQ0	Proline-rich protein 5-like	PRR5L	Homo sapiens	368	Associates with the mTORC2 complex that regulates cellular processes including survival and organization of the cytoskeleton (PubMed:17461779). Regulates the activity of the mTORC2 complex in a substrate-specific manner preventing for instance the specific phosphorylation of PKCs and thereby controlling cell migration (PubMed:22609986). Plays a role in the stimulation of ZFP36-mediated mRNA decay of several ZFP36-associated mRNAs, such as TNF-alpha and GM-CSF, in response to stress (PubMed:21964062). Required for ZFP36 localization to cytoplasmic stress granule (SG) and P-body (PB) in response to stress (PubMed:21964062)
Q49A26	Cytokine-like nuclear factor N-PAC	GLYR1	Homo sapiens	553	Cytokine-like nuclear factor with chromatin gene reader activity involved in chromatin modification and regulation of gene expression (PubMed:23260659, PubMed:30970244). Acts as a nucleosome-destabilizing factor that is recruited to genes during transcriptional activation (PubMed:29759984, PubMed:30970244). Recognizes and binds histone H3 without a preference for specific epigenetic markers and also binds DNA (PubMed:20850016, PubMed:30970244). Interacts with KDM1B and promotes its histone demethylase activity by facilitating the capture of H3 tails, they form a multifunctional enzyme complex that modifies transcribed chromatin and facilitates Pol II transcription through nucleosomes (PubMed:23260659, PubMed:29759984, PubMed:30970244). Stimulates the acetylation of 'Lys-56' of nucleosomal histone H3 (H3K56ac) by EP300 (PubMed:29759984). With GATA4, co-binds a defined set of heart development genes and coregulates their expression during cardiomyocyte differentiation (PubMed:35182466). Regulates p38 MAP kinase activity by mediating stress activation of MAPK14/p38alpha and specifically regulating MAPK14 signaling (PubMed:16352664). Indirectly promotes phosphorylation of MAPK14 and activation of ATF2 (PubMed:16352664). The phosphorylation of MAPK14 requires upstream activity of MAP2K4 and MAP2K6 (PubMed:16352664)
A1A519	Protein FAM170A	FAM170A	Homo sapiens	330	Acts as a nuclear transcription factor that positively regulates the expression of heat shock genes. Binds to heat shock promoter elements (HSE)
